title,audio_file_id,genre,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
Ny Kamilahy,T5443R38,Narrative song; morality song,10,0,10,8,11,11,0,11,11,8,1,11,1,11,3,5,0,0,1,5,5,11,0,3,8,0,0,0,0,0,0,0,4,11,8,2,5
Izay Mba Hanaraka,T5443R36,Dance song; praise song; song about leadership,0,0,0,0,0,0,0,0,0,5,1,9,6,3,3,6,5,6,1,2,5,4,0,1,2,0,0,3,5,0,0,5,4,2,5,8,0
Hiragasy,T5443R42,Hiragasy song; theater music,6,9,6,0,2,2,5,0,2,8,1,9,1,9,3,6,2,6,11,2,5,4,2,1,0,0,3,3,0,5,0,8,11,11,11,11,8
Mpiragasy Song,T5443R31,Children's song; game song,6,9,6,5,5,2,0,0,2,8,6,9,6,5,3,6,5,7,0,2,5,11,0,1,0,0,0,0,0,0,0,5,4,5,8,8,2
Deer Song,PENDING,Animal song,6,10,10,5,2,2,8,11,11,5,1,9,0,11,0,6,5,4,8,2,2,11,0,3,5,0,0,7,5,5,5,2,6,8,8,5,5
Devil Medicine Song,PENDING,Medicine song; healing song,10,10,10,8,11,11,8,11,11,5,1,11,6,11,0,6,2,4,3,5,2,11,0,7,5,0,0,3,0,5,0,0,4,8,11,2,2
Medicine Song,PENDING,Healing song; medicine song,6,11,11,5,2,2,11,11,11,8,6,9,11,11,0,6,2,9,8,2,2,11,0,7,5,0,0,7,5,5,0,2,6,5,2,5,8
Uhanai Dulaanda,T5412R39,"Uta dun; table song, drinking song",10,10,10,8,11,11,8,11,11,11,0,11,0,11,3,6,5,7,1,8,2,11,11,9,2,11,11,7,11,5,11,5,2,2,2,5,8
The Angar Hydro-Electric Power Station,T5412R42,Topical song,10,10,10,8,11,11,8,11,11,11,0,11,0,11,11,6,2,7,1,8,2,11,11,9,5,11,11,3,11,5,11,5,2,5,2,5,8
Baruun Shugy Shuuiaatai ,T5412R43,Comic song; wedding song,10,9,7,8,11,11,0,5,0,11,6,11,6,5,3,0,2,0,11,5,2,11,8,1,2,0,0,7,5,5,11,8,4,5,2,5,8
Naadan Deeree Ereebdil Daa,T5412R44,Dance song; round dance,10,9,7,8,11,11,0,5,0,8,6,11,6,5,3,0,2,1,11,8,2,11,8,1,2,3,0,7,0,5,11,5,4,8,2,5,8
Barbagain Sheneen Baikhadamni ,T5412R45,Domestic song,10,3,7,8,11,11,0,5,2,11,0,11,0,7,3,0,8,0,11,8,2,11,5,9,2,11,11,7,11,0,11,5,2,2,2,5,5
Wedding Song,NULL,Wedding song,0,4,7,0,5,8,5,8,5,5,0,9,1,5,3,1,5,1,0,8,0,0,8,11,8,11,0,7,11,0,0,2,6,11,8,0,2
Drinking Song,NULL,Dance song; drinking song,0,11,11,0,8,5,11,11,11,5,0,9,11,11,3,2,8,0,0,8,0,0,8,11,5,11,0,11,11,5,0,5,6,11,8,0,2
Iakhte,T5410R62m,Personal song; lyric song,10,11,11,8,11,11,11,11,11,5,6,11,11,11,3,9,2,11,0,8,0,11,5,7,5,3,0,3,5,5,11,5,6,11,8,8,5
Commentary on Our Dear Guests,T5410R63m,Guest song,10,11,11,8,11,11,11,11,11,2,6,11,11,11,3,2,5,1,3,8,2,11,0,7,2,3,0,3,5,5,11,2,6,11,8,5,8
Preparation for Song Improvisation on Our Dear Guests,T5410R64m,Improvised song; greeting song,10,11,11,8,11,11,11,11,11,5,6,11,11,11,3,6,2,9,11,8,5,11,0,7,8,3,0,0,0,0,11,5,4,5,2,5,5
Our Dear Guests,T5410R65m,Guest song; improvised song,10,11,11,8,11,11,11,11,11,2,1,11,11,11,3,3,2,1,1,8,5,11,5,3,2,3,0,7,5,0,11,2,6,8,8,5,2
Cradle Song,T5410R70m,Lullaby,4,9,6,0,5,0,5,2,0,2,6,9,9,9,3,3,0,0,1,5,2,6,0,1,2,0,0,3,0,0,11,2,6,8,8,11,5
Song of the Date,T5410R69m,Greeting song,4,11,11,0,5,0,5,2,0,0,6,9,9,9,3,3,0,0,11,2,2,6,0,3,2,0,0,3,0,0,11,2,2,8,8,11,5
Song About a Reindeer-Breeder,T5410R67m,Herding song; work song,10,11,11,8,11,11,11,11,11,8,1,11,11,11,3,0,0,1,11,8,2,11,5,7,8,3,0,7,0,0,11,8,9,11,2,5,2
Introduction ,T5410R66m,"",10,11,11,8,11,11,11,11,11,8,6,11,11,11,3,0,0,0,8,8,0,11,2,7,8,7,0,3,0,0,11,2,6,11,8,5,5
Commentary on Iakhte,T5410R61m,Lyric song,10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,2,2,4,1,8,0,11,8,3,2,7,0,7,5,5,11,2,4,8,8,8,5
Jocular Song,T5410R60m,Jocular song,10,11,11,8,11,11,11,11,11,5,3,11,11,11,0,4,0,1,1,8,2,11,2,3,5,3,0,3,0,5,11,2,6,8,11,5,5
"Ike, the Song, I",T5410R68m,Herding song; work song,10,11,11,8,11,11,11,11,11,11,1,11,11,11,3,2,0,1,11,8,2,11,2,7,5,0,0,3,0,0,11,5,2,8,5,8,5
Larsaq Khuydainat Zaræg,T5466R43m,Heroic song,7,11,11,0,2,0,11,11,11,5,1,5,11,11,0,7,2,7,3,2,5,11,2,9,2,11,0,7,5,0,0,2,2,5,2,8,8
Song About Sos,T5466R45m,Epic song; heroic song; shepherd's song,7,11,11,0,2,0,11,11,11,8,0,5,11,11,0,7,5,7,11,2,5,9,2,9,2,11,0,7,5,5,0,5,2,5,2,8,5
Lyric Song,T5466R51m,Lyric song,10,10,10,8,11,11,0,11,11,5,1,11,1,11,0,1,5,0,11,5,5,11,0,1,8,3,3,7,0,5,0,2,2,5,5,2,8
Kudti Kuzi,T5466R50m,"",7,11,11,0,2,0,11,11,11,8,1,5,11,11,0,1,5,0,11,2,5,9,2,9,5,3,0,7,0,5,0,5,2,2,2,2,8
Sos,T5466R49m,Mythical song,7,11,11,0,2,0,11,11,11,2,1,5,11,11,0,1,5,0,11,5,5,9,2,3,5,3,0,7,0,0,0,5,2,5,5,5,8
Akim Totiev,T5466R48m,Heroic song,7,11,11,0,2,0,11,11,11,8,0,5,11,11,3,7,5,7,11,2,5,9,2,9,2,11,0,7,5,5,0,5,2,5,2,8,5
Domestic Song About an Old Man,T5466R47m,Domestic song,7,11,11,0,2,0,11,11,11,8,0,5,11,11,0,11,11,4,3,2,5,9,2,7,0,11,0,7,5,0,0,2,2,2,5,11,8
Keko Dzampaev,T5466R46m,Heroic song,7,11,11,0,2,0,11,11,11,8,0,5,11,11,0,11,8,11,3,2,5,2,0,7,2,11,0,7,0,5,0,2,2,5,5,8,8
Bekuzaron,T5466R44m,Satirical song,0,9,6,0,2,0,5,0,2,8,1,5,6,9,0,1,5,0,11,2,5,9,5,7,2,3,0,7,5,5,0,5,2,2,2,8,8
Taimurazy Zaræg,T5466R42m,Heroic song,7,11,11,0,2,0,11,11,11,8,0,5,11,11,7,11,11,11,11,2,5,9,0,9,0,11,0,7,5,5,0,5,2,2,2,8,8
Manigai Song,PENDING,Spirit song,10,10,7,8,11,11,5,5,0,11,6,11,6,5,3,7,2,7,3,5,8,11,8,3,8,3,3,7,5,0,5,2,9,11,8,5,8
Javanese Poetry Chant,T5424R61m,Chant,10,11,11,8,11,11,11,11,11,11,0,11,11,11,3,11,5,11,8,2,0,11,11,11,5,11,0,11,11,11,11,8,4,8,8,5,8
Javanese Song 3,T5423R49,Gamelan,2,3,7,0,2,0,0,5,0,11,6,0,1,0,0,9,2,11,3,0,2,0,8,7,2,7,0,7,11,0,11,2,11,11,2,5,2
Nini Towong,T5424R69,Children's song; game song; spirit song,4,11,11,5,5,2,11,11,11,5,6,9,11,11,3,10,0,11,8,2,2,11,0,1,2,7,0,7,5,0,0,8,4,8,2,5,5
Javanese Song 1,T5424R70,Gamelan,10,10,7,8,11,11,5,5,0,11,3,11,3,5,3,6,2,9,8,5,8,11,8,7,8,0,0,3,5,0,5,5,11,11,5,5,8
Sundanese Song 4,T5425R01m,Gamelan,10,4,7,8,11,11,2,2,0,8,0,11,0,7,3,11,8,11,8,2,8,11,11,9,8,11,11,7,11,0,11,8,11,11,0,2,11
Lutung Kasarung,T5424R67,Epic song; pantun,10,11,11,8,11,11,11,11,11,11,0,11,11,11,0,5,5,1,11,5,5,11,8,7,5,11,0,7,5,0,5,2,4,11,8,5,5
Senggot Adu Manis,T5424R68,Gamelan,10,4,7,8,11,11,2,5,0,11,1,11,6,0,3,1,5,1,11,2,8,11,5,7,5,3,0,11,5,0,11,5,11,11,2,5,11
Gbada 2,T5435R12,Dance song,0,10,7,0,0,0,0,2,0,5,6,0,6,3,0,5,2,0,11,0,2,0,0,3,5,0,0,7,5,0,0,2,0,5,5,5,2
Agapa,T5435R11,Party song,2,10,7,5,0,2,0,2,0,5,6,0,6,5,0,4,0,0,11,0,2,11,0,1,5,0,0,7,5,0,5,2,2,2,2,5,2
Makunda Zimaze,T5435R06,Dance song,0,9,6,0,0,0,0,2,0,2,6,0,6,3,3,1,2,0,8,2,2,0,0,3,2,0,0,7,0,0,5,5,2,5,5,8,2
Ebi,T5435R05,Dance song,0,0,7,0,2,2,0,0,0,0,6,0,6,3,0,0,2,0,3,2,2,0,0,7,5,0,0,3,5,0,5,5,4,5,5,5,0
Gbo,T5435R08,Dance song,4,0,7,0,0,2,0,5,0,5,6,9,6,3,3,0,2,1,8,8,2,9,0,3,5,0,0,0,5,0,5,5,2,8,5,2,2
Gbada,T5435R09,Party song; dance song,0,9,6,0,0,0,0,5,0,5,6,0,6,3,0,10,0,11,8,0,2,0,0,1,8,0,0,7,5,0,5,2,2,2,2,5,0
Masi Asiibi Mbaya,T5435R10,Dance song,0,9,6,0,0,0,0,0,0,5,6,0,6,3,0,0,0,11,1,2,2,0,0,1,5,0,0,7,5,0,5,2,0,2,2,2,2
Congo Bereji,T5435R07,Dance song,2,0,7,0,0,0,0,2,0,5,6,0,6,3,3,0,0,11,1,5,2,0,2,3,2,0,0,0,5,0,5,8,2,5,5,2,2
Kpadi Mangbokpa,T5435R04,Topical song,4,10,7,0,0,2,8,11,11,5,6,5,6,11,0,3,0,0,8,8,2,6,0,3,5,0,0,3,0,0,0,2,2,8,8,2,2
Indondoli,T5435R03,Topical song,2,10,10,0,0,2,8,11,11,5,6,9,6,11,0,6,2,9,8,2,2,2,0,3,8,0,0,3,0,0,0,2,2,8,8,2,2
Collas Music: Chunchus Processional Tune,T5472R38,Festival song; feast song; processional music,6,10,6,5,5,2,0,5,5,5,1,9,6,5,11,6,2,6,3,2,2,11,0,7,5,3,3,3,0,0,0,5,6,8,5,2,2
Marcacion De Ganado,T5488R14,Pastoral song; cattle song,10,10,7,8,11,11,0,8,2,2,6,11,6,5,7,9,2,11,3,2,2,11,2,1,5,0,0,0,5,0,0,8,6,8,8,5,2
Pasaschay,T5488R15,"",10,9,6,8,11,11,0,5,2,5,6,11,6,3,7,6,5,6,3,2,0,11,0,3,5,0,3,0,0,0,0,5,4,2,2,5,5
A Las Orillas De Un Rio,T5488R16,"",6,0,10,0,0,0,0,11,11,8,1,9,1,11,3,6,5,9,3,2,2,4,0,9,5,7,7,0,0,5,0,2,2,5,2,2,5
Harawi,T5488R17,"",6,4,10,5,8,5,8,11,11,2,1,9,9,11,3,1,5,1,1,2,0,11,2,3,0,7,0,7,0,5,5,5,4,11,8,2,2
Ambarinacha,T5488R18,Carnaval music,10,10,7,8,11,11,0,5,2,5,3,11,3,5,3,6,0,9,11,2,2,11,2,7,8,0,0,0,5,0,0,5,6,2,2,2,5
Hymn from the Festival of Santa Ana,T5622R11m,Hymn,6,10,10,5,5,5,0,11,11,5,1,9,1,11,3,6,2,3,3,2,2,11,2,9,8,3,3,3,5,0,0,5,4,2,2,2,5
"Hymn for the ""Kimichus""",T5622R12m,Hymn; song about leadership,4,4,6,5,5,8,5,0,2,5,1,9,9,9,3,0,2,1,3,2,2,11,0,7,8,3,0,3,0,0,0,2,6,2,2,2,2
Tarukachus Mamay Karan,T5488R19,Carnaval music,10,10,7,8,11,11,5,5,5,5,1,11,1,5,3,1,5,0,11,8,2,11,0,9,8,3,3,0,0,5,0,5,6,5,2,2,5
Pajarillo Cautivo,T5472R39,Yaravi; animal song,6,10,6,0,0,0,0,0,0,8,1,9,1,5,3,9,2,11,8,2,5,4,0,3,5,3,3,0,5,0,0,8,4,2,2,5,5
Song from Folktale,PENDING,Narrative song; magic song; mythical song,10,11,11,8,11,11,11,11,11,2,1,11,11,11,0,6,5,4,8,8,5,11,0,9,11,7,0,3,5,5,5,2,4,8,8,0,0
Songs for Skwayskway Mask ,PENDING,"",10,10,6,8,11,11,5,0,5,5,1,11,9,7,3,7,5,7,3,8,2,11,0,9,8,3,0,0,0,0,0,2,4,5,11,2,5
Shaman's Song,PENDING,Shaman song,10,11,11,8,11,11,11,11,11,2,0,11,11,11,3,11,0,11,8,5,2,11,5,9,8,11,0,11,0,11,11,2,6,8,8,8,0
Spirit Song 1,PENDING,Spirit song; processional song,7,9,6,0,2,5,5,0,2,2,6,9,6,9,3,6,0,9,0,2,2,4,0,3,2,0,0,0,0,0,11,2,4,2,2,8,2
Spirit Song 3,PENDING,Spirit song; processional song,4,3,4,0,2,2,5,0,2,2,0,9,9,7,3,3,2,0,11,5,5,4,0,9,2,11,11,7,11,0,5,2,4,2,2,2,2
Spirit Song 2,PENDING,Spirit song; processional song,4,3,6,0,2,2,5,0,2,2,6,9,0,9,3,3,0,0,0,5,2,4,0,3,2,0,0,3,0,0,0,2,4,2,2,11,2
Musqueam War Song,PENDING,War song,7,10,10,0,5,2,8,11,11,5,1,9,9,11,11,6,5,9,11,2,2,4,0,9,8,3,0,0,0,0,0,2,4,5,5,2,5
Farewell Song,PENDING,Farewell song,10,4,10,8,11,11,8,11,11,2,1,11,9,11,3,7,2,7,11,5,5,11,0,7,8,7,0,3,0,0,0,2,4,5,5,2,2
Musqueam Gambling Song,PENDING,Gambling song; bone game song; game song,6,4,6,0,5,2,5,0,5,2,1,9,9,9,7,6,5,4,8,2,2,4,2,7,8,7,0,0,5,0,0,2,4,5,5,2,2
Lullaby,PENDING,Lullaby,10,10,6,8,11,11,8,11,11,2,1,11,9,9,0,7,2,7,11,8,2,11,0,9,11,7,0,3,0,0,0,5,6,5,5,2,5
Hospitality Song,T5420R29,Guest song; welcome song,8,11,11,8,11,11,11,11,11,11,1,11,1,11,3,2,8,1,3,5,2,11,8,9,8,7,0,7,11,5,11,2,4,11,8,2,8
Sacrificial Chant,T5420R30,Sacrificial song; chant,10,11,11,8,11,11,11,11,11,11,1,11,11,11,3,2,2,1,11,11,8,11,0,7,8,7,0,0,0,0,11,2,6,11,11,5,11
Calling the Soul of the Rice,T5420R31,Wedding song; rice song,6,11,11,5,2,2,11,11,11,11,1,9,11,11,3,3,2,1,11,8,8,11,0,9,8,7,0,7,5,5,0,2,4,11,8,5,5
Planting Song,T5420R24,Planting song; agricultural song; work song,5,4,10,2,5,8,8,11,11,8,0,7,6,11,0,2,5,1,11,8,0,11,5,9,2,11,0,7,11,11,11,5,0,11,5,5,8
Singing After Lunch at an Upland Rice Field of Puda,T5420R23,Rice song; men's song,5,11,11,0,5,5,11,11,11,8,0,11,11,11,3,1,11,1,0,8,2,0,2,11,2,11,0,11,11,5,5,2,0,8,8,5,5
Choral Performance in Field House,T5420R25,Men's song,5,11,11,0,5,5,11,11,11,11,0,11,11,11,3,1,11,0,0,5,2,0,2,11,2,11,0,11,11,0,5,2,4,5,8,5,5
Two Groups Singing in the Field House,T5420R32,Men's song,5,11,11,0,5,5,11,11,11,8,0,11,11,11,3,1,8,1,1,8,2,0,2,11,2,11,0,11,11,5,5,2,0,8,8,5,5
Courting Song,T5420R27m,Courtship song,6,11,11,5,2,5,11,11,11,8,1,9,11,11,3,3,2,1,0,8,5,11,0,7,11,7,0,7,5,0,0,2,4,11,5,2,2
Wedding Song,T5420R26,Wedding song,10,11,11,8,11,11,11,11,11,11,1,11,11,11,3,6,8,4,8,5,2,11,2,9,2,7,0,3,5,5,0,5,6,11,8,5,8
Chanting After Upland Planting,T5420R28,Chant; agricultural song; planting song,10,11,11,8,11,11,11,11,11,11,1,11,11,11,3,2,2,1,11,8,0,11,0,3,8,3,0,0,0,0,5,2,4,11,8,5,11
La Colombiana,T5621R15m,Women's song,3,10,7,0,2,2,5,2,2,8,6,9,6,5,3,0,2,0,8,5,2,2,5,7,5,0,0,3,5,5,5,2,4,5,5,5,5
La Hova,T5621R16m,Party song,3,10,7,0,2,0,0,2,0,8,6,9,6,1,3,6,2,6,8,5,2,2,0,3,5,0,0,0,0,0,0,2,4,8,8,5,2
La Negra Marina,T40022R02,Children's song,7,11,11,5,5,5,11,11,11,5,1,9,11,11,0,1,2,0,11,5,2,11,0,3,5,0,0,0,0,0,0,0,4,8,5,5,5
"Salve, Santa Maria Ruega Por Los Pecadores",T40022R01,Funeral song; wake song; saint's song; salve,6,11,11,0,5,8,11,11,11,8,0,7,11,11,11,9,2,11,3,5,5,2,0,9,2,11,0,3,0,0,5,2,4,8,8,8,8
Afro-Colombian Song,NULL,"",0,0,7,0,2,2,0,5,0,2,6,0,6,1,3,5,0,1,3,5,2,2,0,3,5,0,0,0,0,0,0,5,4,8,5,8,2
Afro-Colombian Song,NULL,"",0,0,7,0,5,5,0,2,0,2,6,0,6,1,3,5,5,1,3,5,2,2,0,3,5,3,0,3,0,0,0,5,4,8,8,5,2
Currulao Agua Grande,T5616R02,Chigualo; wake song,4,0,7,0,2,2,0,2,0,2,6,5,6,1,3,0,2,0,0,8,2,6,0,7,8,0,0,0,0,0,0,2,4,5,5,5,2
Currulao Torbellino,T5616R01,Chigualo; wake song,0,0,7,0,2,2,0,2,0,2,6,9,6,1,3,1,0,1,8,8,5,2,0,3,5,0,0,3,0,0,0,2,6,8,5,5,2
Shakers,T40013R02,Instrumental,6,9,7,0,5,5,0,2,0,2,6,9,6,1,3,0,2,0,8,5,2,4,0,3,5,0,0,0,0,0,0,2,4,8,5,5,2
Drums,T40013R01,Instrumental,2,0,7,0,2,2,0,2,0,2,6,5,6,1,3,5,2,1,8,2,2,4,0,9,0,3,0,7,11,0,5,5,6,8,5,8,2
Invitation to Food,T5402R13,Feast song,7,11,11,5,2,2,11,11,11,5,1,9,11,11,3,1,8,0,8,8,5,11,0,7,5,0,0,3,5,5,0,5,6,5,5,2,5
I Revive Through Nature,T5463R36,Village song,3,11,11,0,2,2,11,11,11,11,1,9,11,11,3,11,2,7,1,0,5,2,0,3,2,3,0,3,5,5,0,2,2,2,2,5,5
Very Beautiful Weather,T5463R35,Love song,4,11,11,0,2,0,11,11,11,11,6,0,11,11,3,6,5,3,8,2,5,0,0,7,2,3,0,3,5,5,5,5,2,2,2,5,2
A Flower Is Blossoming,T5463R34,Women's song,4,11,11,0,2,0,11,11,11,11,1,9,11,11,3,7,5,4,1,2,5,2,0,7,2,3,0,3,11,0,5,2,2,5,0,5,5
A Child Goes Through The Town,T5463R33,Historical song,2,11,11,0,2,2,11,11,11,11,1,0,11,11,3,7,5,4,1,2,5,0,0,11,5,3,0,3,5,0,0,0,4,5,5,2,2
"A While, We Take It Again",T5463R21,Work song,2,11,11,0,5,2,11,11,11,8,6,0,11,11,3,6,2,6,3,5,5,0,5,3,2,0,0,7,11,5,5,5,2,5,5,8,5
Bride's Lament,T5463R14,Wedding song; lament; farewell song,10,11,11,8,11,11,11,11,11,11,1,11,11,11,3,1,2,1,3,8,5,11,0,7,2,0,0,11,0,0,5,5,4,8,8,5,5
Ballad of Ilya Muromets,T5463R32,Ballad,4,11,11,0,5,5,11,11,11,8,1,0,11,11,3,10,2,11,1,2,5,0,2,7,2,3,0,7,11,5,5,2,2,8,5,5,5
Lullaby ,T5404R31,Lullaby,4,11,11,0,5,11,11,11,11,5,0,7,11,11,0,2,2,1,11,5,0,0,0,7,8,11,0,11,5,5,5,11,2,11,0,0,2
Goajiro Song 2,T5404R32,"",4,4,10,0,8,11,8,11,11,5,0,7,0,11,3,2,5,1,3,2,0,0,2,9,2,11,11,11,5,11,0,5,6,11,8,8,2
Duet,T5404R33,"",0,11,11,0,8,11,11,11,11,5,1,7,11,11,3,2,0,0,8,2,0,0,2,7,5,3,0,11,5,11,5,5,4,11,8,5,2
Male Soloist,T5404R34,"",10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,0,2,1,11,8,2,11,2,9,11,3,0,7,5,11,5,5,6,11,8,5,5
Lament ,T5404R35,Lament,10,11,11,8,11,11,11,11,11,2,1,11,11,11,3,5,2,1,11,8,8,11,2,9,11,3,0,11,5,11,0,5,6,11,5,5,8
Lament,T5404R36,Lament,10,11,11,8,11,11,11,11,11,5,0,11,11,11,3,2,2,1,0,5,0,11,0,7,8,11,0,0,0,11,11,0,6,11,5,8,5
Drum,T5404R37m,"",8,4,10,8,11,11,8,11,11,0,0,11,9,11,0,2,5,0,11,0,8,11,0,11,11,11,0,11,11,0,0,2,11,11,2,0,0
Female Solo with Rattles,T5404R38m,"",10,10,10,8,11,11,8,11,11,2,1,11,9,11,3,2,2,1,3,5,0,11,2,3,5,0,0,3,0,0,11,8,2,5,5,8,2
Shaman Curing Ceremony,T5404R39,Healing song; shaman song,10,10,10,8,11,11,8,11,11,5,1,11,9,11,3,3,2,1,11,5,0,11,2,3,5,0,0,3,0,0,11,8,2,5,5,8,5
Male Duet,T5404R40,"",5,11,11,0,5,8,11,11,11,2,1,7,11,11,3,0,2,0,3,5,0,0,2,7,2,3,0,3,0,5,5,5,4,8,11,8,5
Girl's Dance,T5458R26,Dance song; responsorial song,3,9,6,5,2,0,5,2,0,5,6,9,6,9,3,3,0,0,11,8,5,11,0,1,0,0,0,7,0,0,5,5,2,5,2,11,2
Signalling with the Voice,T5458R30,Wordless singing,8,11,11,8,11,11,11,11,11,0,1,11,11,11,3,2,0,1,0,11,5,11,0,1,2,0,0,0,0,0,0,5,0,2,2,5,0
Hayetchi,T5622R19m,Nostalgic song,0,11,11,0,2,2,11,11,11,5,0,9,11,11,3,2,5,0,11,5,2,6,5,7,2,0,0,3,5,5,5,5,4,8,5,8,2
Malo masî,T5622R18m,Instrumental,2,11,11,5,2,2,11,11,11,5,1,9,11,11,3,5,2,0,11,5,2,11,0,7,5,3,0,3,5,0,0,5,4,8,8,5,2
Aga Olono,T5460R05,"",10,11,11,8,11,11,11,11,11,11,0,11,11,11,3,10,2,11,11,2,5,11,11,7,5,11,0,7,0,11,11,2,4,8,8,5,5
Tambor Kàshi,T5622R17m,Dance song; thanksgiving song; rain song,2,10,6,0,2,0,5,0,2,5,1,9,9,9,3,1,0,1,8,8,5,6,0,3,5,0,0,3,0,0,0,5,2,8,8,5,2
Canción Goajiro,T5622R16m,Girls' song,4,9,6,0,5,5,5,0,5,8,0,9,9,9,3,10,0,11,3,2,2,4,2,3,5,0,3,3,5,0,5,2,4,8,5,8,5
Epa Drum Choir 3,T5460R04,Heroic song,3,9,7,5,2,2,0,2,0,2,6,9,6,3,3,0,2,0,11,11,5,11,0,7,5,0,0,3,5,0,5,2,2,5,5,8,2
Epa Drum Choir 2,NULL,Heroic song,4,9,7,0,2,2,0,2,0,5,6,9,6,3,3,2,0,0,11,8,2,4,0,3,2,0,0,7,5,0,0,5,4,8,8,8,2
Egbe Arobajo 3,T5460R02,Dance song,0,0,7,5,2,2,0,0,0,8,6,9,6,1,3,11,2,11,8,2,5,11,0,7,0,0,0,3,11,0,0,2,2,8,8,5,0
Egbe Arobajo 1,T5460R01,Dance song,0,0,6,5,5,5,0,0,0,11,6,9,6,1,3,11,0,11,8,2,2,11,0,7,2,0,0,7,5,0,0,2,2,8,8,8,2
Orin muritala alhaji,T45035,Men's song,6,0,7,2,2,2,0,2,0,2,6,9,6,3,3,10,2,11,11,5,5,11,5,7,5,0,0,7,5,0,5,2,6,8,5,8,2
Khant Song ,T5411R42m,"",10,11,11,8,11,11,11,11,11,5,6,11,11,11,3,1,2,0,3,5,5,11,0,3,5,0,0,0,5,5,0,0,4,8,5,5,5
Voi Ar ,T5411R37m,Ritual song; animal song,10,11,11,8,11,11,11,11,11,5,1,11,11,11,11,0,2,0,11,8,2,11,0,3,8,3,0,3,5,0,11,2,4,5,2,8,5
Khanty,T5411R38m,Wedding song,10,11,11,8,11,11,11,11,11,5,6,11,11,11,3,9,2,11,8,5,2,11,0,3,8,3,0,3,5,0,0,0,2,5,5,5,5
Vel'pas Ladine,T5411R39m,Hunting song,10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,10,2,0,11,8,5,11,0,3,8,3,0,7,5,0,5,2,4,5,5,5,5
Boasting Song of Tazimov Sergei,T5411R40m,Topical song,10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,0,2,0,8,8,2,11,0,3,5,3,0,3,5,5,5,0,2,8,8,5,5
Voi Ar ,T5411R41m,Ritual song; animal song,10,11,11,8,11,11,11,11,11,2,1,11,11,11,3,6,5,4,3,2,5,11,0,3,8,3,0,0,0,5,0,2,4,5,2,5,5
Tunkas Sis Kholum Evi; The Fish Catch,T5411R33m,Fishing song; work song,10,11,11,8,11,11,11,11,11,11,1,11,11,11,3,6,2,4,8,8,0,11,0,7,5,3,0,3,11,0,5,2,0,8,5,5,5
Song of Nyomasova About Her Sons,T5411R34m,Topical song,10,11,11,8,11,11,11,11,11,11,1,11,11,11,3,6,2,4,3,5,0,11,0,7,5,3,0,7,11,5,0,2,0,8,5,5,5
Yasun Kohkhoz,T5411R35m,Agricultural song,10,11,11,8,11,11,11,11,11,11,1,11,11,11,3,0,5,0,11,5,0,11,0,7,5,3,0,11,11,5,5,2,0,8,5,5,5
Yely Ulty Yushev,T5411R36m,"",4,11,11,5,5,5,11,11,11,8,6,9,11,11,3,0,0,0,8,8,0,11,0,3,5,0,0,7,5,5,5,2,4,5,5,8,5
Romantic Love Song,T5618R07,Love song,4,10,7,5,5,5,5,5,2,5,6,9,6,5,11,4,0,1,11,0,2,11,8,3,2,0,0,3,0,0,11,5,6,11,8,5,2
My Medicine,T5596R07,Healing song; medicine song,4,9,7,5,5,5,5,2,0,11,6,9,6,5,0,4,2,0,3,2,5,11,5,3,8,0,0,7,0,0,5,8,4,8,5,2,5
My Medicine 2,T5596R08,Healing song; medicine song,10,9,7,8,11,11,5,2,0,11,6,11,9,9,11,5,2,0,11,5,0,11,5,3,8,3,0,11,0,5,5,5,4,8,5,2,2
Yur Kun Kase,T5426R16,"",4,11,11,5,5,2,11,11,11,2,1,9,11,11,3,6,2,9,1,8,5,11,2,3,5,3,0,7,5,0,0,5,6,5,8,8,5
Wobak Song,T5426R17,"",6,3,6,5,5,5,5,0,5,0,11,9,9,7,3,1,5,0,11,8,5,11,0,3,0,3,3,7,11,0,0,5,6,5,5,8,0
Nde Song,T5426R18,Girls' song,6,3,6,5,5,8,5,0,8,2,1,9,11,11,3,10,2,11,0,8,8,11,2,3,0,3,3,7,5,0,0,5,6,8,11,11,0
Pig Killing,T5426R19m,Ceremonial song; lament; animal song; pig song,10,11,11,8,11,11,11,11,11,5,0,11,11,11,0,2,2,0,11,8,8,11,0,1,2,11,0,7,0,0,0,5,4,2,2,8,5
Smoke Pulling,T5426R20m,Work song,4,11,11,5,5,5,11,11,11,2,1,9,11,11,7,6,2,3,11,5,5,11,0,3,2,3,0,3,0,0,0,5,4,2,2,8,2
Cooking Nose Song,T5426R21m,"",6,11,11,5,5,8,11,11,11,5,1,9,11,11,7,9,2,11,11,8,5,11,2,7,8,7,0,7,0,5,0,2,6,8,2,2,2
